,Metric,Single Split Score,CV_Mean,CV_Std Dev
0,F1-Score,0.6133092028623731,0.7692475818367676,0.0011931844392621311
1,AUC-PR,0.6771259887857173,0.6444432472256948,0.0011476300663486674
