model_nm|matrix_nm|params|scores
KMeans|cnt_m_X_train_one_million|{'max_iter': 400, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5022644861279503, ""mean_test_precision_weighted"": 0.5211042282030292, ""mean_test_recall_weighted"": 0.5022644861279503, ""mean_test_adjusted_rand_score"": 0.0053373652480330986, ""mean_test_adjusted_mutual_info_score"": 0.00022860432973164564}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 200, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 200, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 200, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 300, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 300, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 300, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 400, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 400, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
KMeans|tfidf_m_X_train_one_million|{'max_iter': 400, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.4983384261383141, ""mean_test_precision_weighted"": 0.4812228071321447, ""mean_test_recall_weighted"": 0.4983384261383141, ""mean_test_adjusted_rand_score"": 0.0038225420817951817, ""mean_test_adjusted_mutual_info_score"": 0.00015824953214583007}"
